Stock,noPositives,noNegatives,average,highOpp,lowOpp,Streak_num,STreak_gain
ONGC.NS,32,210,-4.97,17.9,-34.45,4 , -6.67
PNB.NS,38,204,-11.15,34.8,-61.1,2 , -1.21
DLF.NS,32,210,-3.77,4.1,-44.05,1 , 0.72
UNITECH.NS,23,219,-0.57,1.05,-5.1,1 , 0.58
RCOM.NS,31,211,-2.33,1.7,-10.95,2 , -4.81
