Stock,noPositives,noNegatives,average,highOpp,lowOpp,Streak_num,STreak_gain
UNITECH.NS,23,219,-0.57,1.05,-5.1,3 , -2.84
WIPRO.NS,24,218,-6.49,6.85,-46.85,1 , -4.94
JPASSOCIA.NS,33,209,-1.38,1.2,-9.1,2 , -2.99
infy.NS,39,203,-31.48,33.6,-331.3,2 , 0.8
ITC.NS,21,221,-3.36,2.3,-23.2,1 , 0.16
