Stock,noPositives,noNegatives,average,highOpp,lowOpp,Streak_num,STreak_gain
BHEL.NS,224,18,4.36,41.4,-8.35,6 , 15.33
RIIL.NS,230,12,11.95,90.55,-6.65,1 , 1.47
KOTAKBANK.NS,220,22,11.6,81.1,-4.8,1 , -0.2
CIPLA.NS,237,5,6.71,45.85,-8.5,1 , 2.87
RANBAXY.NS,232,10,8.72,43.7,-41.7,3 , 7.03
