Stock,noPositives,noNegatives,average,highOpp,lowOpp
RIIL.NS,230,30,11.13,90.55,-6.65
SUZLON.NS,161,29,0.49,3.25,-1.7
SAIL.NS,228,32,1.51,10.65,-2.0
BHEL.NS,223,37,4.0,41.4,-8.35
KOTAKBANK.NS,219,41,10.76,81.1,-4.8
